"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/25/2010","29","Ozone","Redwood City","06-081-1001","AQS","7","29","11","20"
"01/26/2010","34","PM2.5","Redwood City","06-081-1001","AQS","9","14","34","34"
"01/27/2010","51","PM2.5","Redwood City","06-081-1001","AQS","17","12","51","28"
"01/28/2010","60","PM2.5","Redwood City","06-081-1001","AQS",".","12","60","28"
"01/29/2010","53","PM2.5","Redwood City","06-081-1001","AQS",".","20","53","25"
"01/30/2010","33","PM2.5","Redwood City","06-081-1001","AQS","8","28","33","26"
"01/31/2010","46","PM2.5","Redwood City","06-081-1001","AQS","7","23","46","25"
"02/01/2010","40","PM2.5","Redwood City","06-081-1001","AQS","13",".","40","28"
"02/02/2010","60","PM2.5","Redwood City","06-081-1001","AQS","14","11","60","28"
"02/03/2010","34","PM2.5","Redwood City","06-081-1001","AQS","10","26","34","27"
"02/04/2010","30","NO2","Redwood City","06-081-1001","AQS","8","28","22","30"
"02/05/2010","36","NO2","Redwood City","06-081-1001","AQS","11","35","13","36"
"02/06/2010","34","Ozone","Redwood City","06-081-1001","AQS","5","34","15","17"
"02/07/2010","35","PM2.5","Redwood City","06-081-1001","AQS","7","32","35","26"
"02/08/2010","32","Ozone","Redwood City","06-081-1001","AQS","7","32","22","30"
"02/09/2010","34","Ozone","Redwood City","06-081-1001","AQS","5","34","11","31"
"02/10/2010","29","NO2","Redwood City","06-081-1001","AQS",".",".","25","29"
"02/11/2010","31","Ozone","Redwood City","06-081-1001","AQS","9","31","17","27"
"02/12/2010","27","Ozone","Redwood City","06-081-1001","AQS","6","27","12","26"
"02/13/2010","51","PM2.5","Redwood City","06-081-1001","AQS","8","25","51","26"
"02/14/2010","54","PM2.5","Redwood City","06-081-1001","AQS","9","19","54","24"
"02/15/2010","34","PM2.5","Redwood City","06-081-1001","AQS","9","20","34","20"
"02/16/2010","40","PM2.5","Redwood City","06-081-1001","AQS","9","16","40","30"
"02/17/2010","51","PM2.5","Redwood City","06-081-1001","AQS","10","10","51","37"
"02/18/2010","49","PM2.5","Redwood City","06-081-1001","AQS","11","20","49","23"
"02/19/2010","32","NO2","Redwood City","06-081-1001","AQS","8","25","28","32"
"02/20/2010","31","Ozone","Redwood City","06-081-1001","AQS","8","31","18","19"
"02/21/2010","30","Ozone","Redwood City","06-081-1001","AQS","5","30","9","12"
"02/22/2010","30","Ozone","Redwood City","06-081-1001","AQS","6","30","28","26"
"02/23/2010","30","NO2","Redwood City","06-081-1001","AQS","10","28","22","30"
"02/24/2010","29","Ozone","Redwood City","06-081-1001","AQS","6","29","11","22"
"02/25/2010","33","PM2.5","Redwood City","06-081-1001","AQS","8","22","33","28"
"02/26/2010","32","Ozone","Redwood City","06-081-1001","AQS","8","32","14","25"
"02/27/2010","31","Ozone","Redwood City","06-081-1001","AQS","7","31","14","24"
"02/28/2010","34","PM2.5","Redwood City","06-081-1001","AQS","7","28","34","21"
"03/01/2010","32","Ozone","Redwood City","06-081-1001","AQS",".","32","31","20"
"03/02/2010","31","Ozone","Redwood City","06-081-1001","AQS","6","31","10","19"
"03/03/2010","38","Ozone","Redwood City","06-081-1001","AQS","6","38","12","23"
"03/04/2010","31","Ozone","Redwood City","06-081-1001","AQS","7","31","20","31"
"03/05/2010","32","Ozone","Redwood City","06-081-1001","AQS","8","32","22","28"
"03/06/2010","35","PM2.5","Redwood City","06-081-1001","AQS","8","29","35","25"
"03/07/2010","36","Ozone","Redwood City","06-081-1001","AQS","8","36","33","19"
"03/08/2010","37","Ozone","Redwood City","06-081-1001","AQS","5","37","20","21"
"03/09/2010","34","Ozone","Redwood City","06-081-1001","AQS","8","34","26","26"
"03/10/2010","34","Ozone","Redwood City","06-081-1001","AQS","5","34","21","29"
"03/11/2010","31","Ozone","Redwood City","06-081-1001","AQS","8","31","28","29"
"03/12/2010","27","NO2","Redwood City","06-081-1001","AQS","7","25","23","27"
"03/13/2010","33","Ozone","Redwood City","06-081-1001","AQS","7","33","19","27"
"03/14/2010","35","Ozone","Redwood City","06-081-1001","AQS","8","35","21","24"
"03/15/2010","34","PM2.5","Redwood City","06-081-1001","AQS","15","28","34","30"
"03/16/2010","53","PM2.5","Redwood City","06-081-1001","AQS","14","28","53","33"
"03/17/2010","51","PM2.5","Redwood City","06-081-1001","AQS","13","30","51","30"
"03/18/2010","38","NO2","Redwood City","06-081-1001","AQS","9","34","35","38"
"03/19/2010","43","Ozone","Redwood City","06-081-1001","AQS","11","43","35","38"
