"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25"
"05/07/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77","0","53","40"
"05/08/2015","64","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","64","0","9","20"
"05/09/2015","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","51","0","12","23"
"05/10/2015","71","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","71","0","13","33"
"05/11/2015","97","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","97","0","19","39"
"05/12/2015","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","84","0","39","33"
"05/13/2015","71","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","71","0","49","35"
"05/14/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58",".","20","30"
"05/15/2015","49","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","49","0","6","18"
"05/16/2015","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","54","0","9","13"
"05/17/2015","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","67","0","12","27"
"05/18/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","15","25"
"05/19/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","10","18"
"05/20/2015","74","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","74","0","19","21"
"05/21/2015","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","67","0","33","30"
"05/22/2015","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","50","0","11","18"
"05/23/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48","0","25","15"
"05/24/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","6","12"
"05/25/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","14","26"
"05/26/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77","0","18","34"
