"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"08/16/2016","90","Ozone","Jackson-Clinton Road","06-005-0002","AQS","90","."
"08/17/2016","87","Ozone","Jackson-Clinton Road","06-005-0002","AQS","87","."
"08/18/2016","90","Ozone","Jackson-Clinton Road","06-005-0002","AQS","90","."
"08/19/2016","90","Ozone","Jackson-Clinton Road","06-005-0002","AQS","90","."
"08/20/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
"08/21/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
"08/22/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"08/23/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"08/24/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"08/25/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"08/26/2016","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"08/27/2016","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"08/28/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"08/29/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"08/30/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"08/31/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"09/01/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"09/02/2016","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"09/03/2016","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"09/04/2016","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"09/05/2016","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"09/06/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"09/07/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
"09/08/2016","49","Ozone","Jackson-Clinton Road","06-005-0002","AQS","49","."
"09/09/2016","64","Ozone","Jackson-Clinton Road","06-005-0002","AQS","64","."
"09/10/2016","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"09/11/2016","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"09/12/2016","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"09/13/2016","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
