"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"06/29/2009","100","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","100",".","8"
"06/30/2009","115","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","115","31","10"
"07/01/2009","136","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","136",".","12"
"07/02/2009","122","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","122",".","6"
"07/03/2009","105","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","105","25","8"
"07/04/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","4"
"07/05/2009","49","Ozone","White Cloud","06-057-0007","AQS","49",".","3"
"07/06/2009","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47","15","4"
"07/07/2009","49","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","49",".","9"
"07/08/2009","50","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","50",".","6"
"07/09/2009","93","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","93",".","6"
"07/10/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80",".","8"
"07/11/2009","71","Ozone","White Cloud","06-057-0007","AQS","71",".","10"
"07/12/2009","74","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","74","19","5"
"07/13/2009","61","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","61",".","5"
"07/14/2009","97","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","97",".","8"
"07/15/2009","108","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","108","23","11"
"07/16/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80",".","8"
"07/17/2009","101","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","101",".","13"
"07/18/2009","90","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","90","27","4"
"07/19/2009","133","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","133",".","5"
"07/20/2009","112","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","112",".","8"
"07/21/2009","77","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","77","11","10"
"07/22/2009","126","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","126",".","8"
"07/23/2009","84","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","84",".","20"
"07/24/2009","108","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","108","22","11"
"07/25/2009","84","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","84",".","5"
"07/26/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80",".","5"
"07/27/2009","101","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","101","19","8"
"07/28/2009","126","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","126",".","2"
"07/29/2009","119","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","119",".","2"
"07/30/2009","87","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","87","42","2"
"07/31/2009","100","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","100",".","8"
"08/01/2009","87","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","87",".","6"
"08/02/2009","47","Ozone","White Cloud","06-057-0007","AQS","47","32","6"
"08/03/2009","50","Ozone","White Cloud","06-057-0007","AQS","50",".","12"
"08/04/2009","51","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","51",".","9"
"08/05/2009","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47","30","9"
"08/06/2009","29","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","29",".","5"
"08/07/2009","39","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","39",".","8"
"08/08/2009","50","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","50","38","3"
"08/09/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80",".","4"
"08/10/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64",".","11"
"08/11/2009","126","Ozone","White Cloud","06-057-0007","AQS","126","54","7"
"08/12/2009","51","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","51",".","8"
"08/13/2009","42","Ozone","White Cloud","06-057-0007","AQS","42",".","8"
"08/14/2009","58","Ozone","White Cloud","06-057-0007","AQS","58","15","5"
"08/15/2009","50","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","50",".","5"
"08/16/2009","100","Ozone","White Cloud","06-057-0007","AQS","100",".","7"
"08/17/2009","129","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","129","85","10"
"08/18/2009","115","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","115","53","12"
"08/19/2009","164","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","164",".","9"
"08/20/2009","136","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","136","34","12"
"08/21/2009","105","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","105",".","6"
"08/22/2009","100","Ozone","White Cloud","06-057-0007","AQS","100",".","4"
"08/23/2009","90","Ozone","White Cloud","06-057-0007","AQS","90","30","5"
"08/24/2009","101","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","101",".","8"
"08/25/2009","112","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","112",".","17"
"08/26/2009","129","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","129","19","9"
"08/27/2009","93","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","93",".","11"
"08/28/2009","67","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","67",".","12"
"08/29/2009","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45","14","4"
"08/30/2009","48","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","48",".","5"
"08/31/2009","43","Ozone","White Cloud","06-057-0007","AQS","43",".","8"
"09/01/2009","45","Ozone","White Cloud","06-057-0007","AQS","45","11","7"
"09/02/2009","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43",".","8"
"09/03/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","8"
"09/04/2009","74","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","74","16","6"
"09/05/2009","46","Ozone","White Cloud","06-057-0007","AQS","46",".","5"
"09/06/2009","44","Ozone","White Cloud","06-057-0007","AQS","44",".","3"
"09/07/2009","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43","9","4"
"09/08/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64",".","12"
"09/09/2009","101","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","101",".","7"
"09/10/2009","77","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","77","24","20"
"09/11/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","9"
"09/12/2009","49","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","49",".","5"
"09/13/2009","43","Ozone","White Cloud","06-057-0007","AQS","43","14","4"
"09/14/2009","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43",".","6"
"09/15/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","10"
"09/16/2009","90","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","90","22","8"
"09/17/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80","19","16"
"09/18/2009","150","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","150",".","18"
"09/19/2009","108","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","108","23","6"
"09/20/2009","100","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","100",".","6"
"09/21/2009","74","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","74",".","8"
"09/22/2009","87","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","87","17","13"
"09/23/2009","80","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","80",".","9"
"09/24/2009","143","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","143","22","15"
"09/25/2009","112","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","112","19","8"
"09/26/2009","84","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","84",".","5"
"09/27/2009","115","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","115",".","6"
"09/28/2009","87","Ozone","White Cloud","06-057-0007","AQS","87","26","7"
"09/29/2009","48","Ozone","White Cloud","06-057-0007","AQS","48",".","5"
"09/30/2009","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38",".","11"
"10/01/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64","14","7"
"10/02/2009","61","Ozone","White Cloud","06-057-0007","AQS","61",".","9"
"10/03/2009","49","Ozone","White Cloud","06-057-0007","AQS","49",".","4"
"10/04/2009","36","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","36","13","3"
"10/05/2009","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33",".","9"
"10/06/2009","36","Ozone","White Cloud","06-057-0007","AQS","36",".","8"
"10/07/2009","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47","15","11"
"10/08/2009","64","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","64",".","11"
"10/09/2009","71","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","71",".","6"
"10/10/2009","71","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","71","30","8"
"10/11/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","5"
"10/12/2009","47","Ozone","White Cloud","06-057-0007","AQS","47",".","6"
"10/13/2009","31","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","31","4","2"
"10/14/2009","33","Ozone","White Cloud","06-057-0007","AQS","33",".","7"
"10/15/2009","32","Ozone","White Cloud","06-057-0007","AQS","32",".","8"
"10/16/2009","31","Ozone","White Cloud","06-057-0007","AQS","31","27","9"
"10/17/2009","34","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","34",".","4"
"10/18/2009","34","Ozone","White Cloud","06-057-0007","AQS","34",".","4"
"10/19/2009","31","Ozone","White Cloud","06-057-0007","AQS","31","12","4"
"10/20/2009","29","Ozone","White Cloud","06-057-0007","AQS","29",".","7"
"10/21/2009","35","Ozone","White Cloud","06-057-0007","AQS","35",".","12"
"10/22/2009","41","PM2.5","Truckee-Fire Station","06-057-1001","AQS","36","41","5"
"10/23/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","5"
"10/24/2009","36","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","36",".","7"
"10/25/2009","39","Ozone","White Cloud","06-057-0007","AQS","39","33","4"
"10/26/2009","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45",".","19"
"10/27/2009","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","2"
"10/28/2009","34","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","34","23","5"
"10/29/2009","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33",".","8"
"10/30/2009","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33",".","12"
"10/31/2009","29","Ozone","White Cloud","06-057-0007","AQS","29","23","7"
"11/01/2009","27","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","27",".","4"
"11/02/2009","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38",".","12"
"11/03/2009","42","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","42","31","12"
"11/04/2009","71","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","71",".","16"
"11/05/2009","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38",".","6"
"11/06/2009","30","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","30","11","13"
"11/07/2009","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","5"
"11/08/2009","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","5"
"11/09/2009","39","PM2.5","Truckee-Fire Station","06-057-1001","AQS","34","39","11"
"11/10/2009","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33",".","20"
"11/11/2009","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32",".","16"
"11/12/2009","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32","18","7"
"11/13/2009","35","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","35",".","14"
"11/14/2009","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","7"
"11/15/2009","45","PM2.5","Truckee-Fire Station","06-057-1001","AQS","40","45","4"
"11/16/2009","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32",".","10"
"11/17/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","14"
"11/18/2009","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32","17","13"
