"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"03/16/2018","38","Ozone","Hayward","06-001-2001","AQS","7","38","0","28","31"
"03/17/2018","37","Ozone","Hayward","06-001-2001","AQS","9","37","0","35","29"
"03/18/2018","51","PM2.5","Oakland West","06-001-0011","AQS","10","34","1","51","30"
"03/19/2018","49","PM2.5","Oakland West","06-001-0011","AQS","13","38","3","49","38"
"03/20/2018","46","PM2.5","Oakland West","06-001-0011","AQS","8","32","4","46","34"
"03/21/2018","31","Ozone","Livermore","06-001-0007","AQS","10","31","0","25","28"
"03/22/2018","42","Ozone","Hayward","06-001-2001","AQS","8","42","0","37","24"
"03/23/2018","41","Ozone","Livermore","06-001-0007","AQS","7","41","1","35","30"
"03/24/2018","44","Ozone","Livermore","06-001-0007","AQS","7","44","0","38","20"
"03/25/2018","39","Ozone","Livermore","06-001-0007","AQS","7","39","0","33","24"
"03/26/2018","38","Ozone","Livermore","06-001-0007","AQS","7","38","0","31","25"
"03/27/2018","52","PM2.5","Laney College","06-001-0012","AQS","8","40","3","52","41"
"03/28/2018","58","PM2.5","Oakland West","06-001-0011","AQS","11","39","4","58","36"
"03/29/2018","60","PM2.5","Oakland West","06-001-0011","AQS","10","42","1","60","41"
"03/30/2018","60","PM2.5","Oakland West","06-001-0011","AQS","9","44","4","60","41"
"03/31/2018","58","PM2.5","Oakland West","06-001-0011","AQS","8","44","0","58","25"
"04/01/2018","60","PM2.5","Laney College","06-001-0012","AQS","8","40","0","60","26"
"04/02/2018","55","PM2.5","Laney College","06-001-0012","AQS","7","38","0","55","26"
"04/03/2018","58","PM2.5","Laney College","06-001-0012","AQS","7","43","0","58","34"
"04/04/2018","46","PM2.5","Oakland West","06-001-0011","AQS","6","44","4","46","30"
"04/05/2018","43","PM2.5","Oakland West","06-001-0011","AQS","6","40","3","43","35"
"04/06/2018","27","PM2.5","Oakland West","06-001-0011","AQS","6","24","0","27","18"
"04/07/2018","48","PM2.5","Laney College","06-001-0012","AQS","6","40","0","48","20"
"04/08/2018","51","PM2.5","Oakland West","06-001-0011","AQS","7","42","0","51","25"
"04/09/2018","56","PM2.5","Oakland West","06-001-0011","AQS","9","35","3","56","34"
"04/10/2018","50","PM2.5","Oakland West","06-001-0011","AQS","7","38","3","50","34"
"04/11/2018","45","Ozone","Oakland West","06-001-0011","AQS","6","45","0","38","28"
"04/12/2018","47","Ozone","Livermore","06-001-0007","AQS","8","47","0","40","35"
