"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"10/27/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","26","15"
"10/28/2017","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","23","15"
"10/29/2017","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","36",".","22","18"
"10/30/2017","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","31","29"
"10/31/2017","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49",".","26","33"
"11/01/2017","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","49",".","30","32"
"11/02/2017","47","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","2","47",".","38","42"
"11/03/2017","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","42",".","30","35"
"11/04/2017","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","24","24"
"11/05/2017","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","19","15"
"11/06/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","31","14"
"11/07/2017","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38",".","25","14"
"11/08/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37",".","36","17"
"11/09/2017","59","PM10","Shell Cut","06-027-0025","AQS","1","38",".","59","18"
"11/10/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","39",".","27","20"
"11/11/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38",".","24","20"
"11/12/2017","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","26","23"
"11/13/2017","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","35","24"
"11/14/2017","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","26","20"
"11/15/2017","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","35",".","31","21"
"11/16/2017","35","PM10","Keeler","06-027-1003","AQS","1","33",".","35","23"
"11/17/2017","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44",".","14","14"
"11/18/2017","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","41",".","16","17"
"11/19/2017","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","36",".","19","29"
"11/20/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","22","26"
"11/21/2017","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","31",".","17","23"
"11/22/2017","25","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","25",".","13","22"
"11/23/2017","20","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","20",".","14","18"
"11/24/2017","24","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","24",".","20","16"
"11/25/2017","24","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","24",".","23","20"
"11/26/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","29","20"
"11/27/2017","186","PM10","Keeler","06-027-1003","AQS","1","48",".","186","154"
"11/28/2017","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38",".","16","26"
"11/29/2017","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","36",".","19","20"
"11/30/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","24","17"
"12/01/2017","32","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","32",".","24","12"
"12/02/2017","32","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","32",".","28","18"
"12/03/2017","72","PM10","Coso Junction","06-027-1001","AQS","1","48",".","72","63"
"12/04/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37",".","36","35"
"12/05/2017","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","39",".","15","10"
"12/06/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38",".","18","14"
"12/07/2017","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37",".","23","7"
"12/08/2017","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","35",".","18","13"
"12/09/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","19","29"
"12/10/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","15","10"
"12/11/2017","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","19","."
"12/12/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","17","17"
"12/13/2017","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38",".","29","9"
"12/14/2017","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","40",".","28","30"
"12/15/2017","38","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","38",".","38","33"
"12/16/2017","151","PM2.5","Keeler","06-027-1003","AQS","1","36",".","142","151"
"12/17/2017","55","PM10","Keeler","06-027-1003","AQS","1","39",".","55","8"
"12/18/2017","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","35",".","32","9"
"12/19/2017","32","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","32",".","30","15"
"12/20/2017","119","PM10","Lizard Tail","06-027-0028","AQS","1","43",".","119","58"
"12/21/2017","113","PM2.5","Keeler","06-027-1003","AQS","1","40",".","96","113"
"12/22/2017","41","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","35",".","41","20"
"12/23/2017","36","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","31",".","36","20"
"12/24/2017","40","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","29",".","40","30"
"12/25/2017","34","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","30",".","34","23"
"12/26/2017","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33",".","25","17"
"12/27/2017","36","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","32",".","36","15"
"12/28/2017","39","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","33",".","39","25"
"12/29/2017","36","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","34",".","36","23"
"12/30/2017","39","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","29",".","39","21"
"12/31/2017","39","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","32",".","39","22"
